,country,total_cases,total_deaths,total_recovered,active_cases,seriuos_cases,tot_cases_per_1m,death_per_1m,total_tests,total_tests_per_1m,pop
0,world,5688840,352287,2432236.0,2904317.0,53103.0,730.0,45.2,,,
1,USA,1725275,100572,479969.0,1144734.0,17158.0,5215.0,304.0,15532159.0,46951.0,330817010.0
2,Brazil,394507,24593,158593.0,211321.0,8318.0,1857.0,116.0,871839.0,4104.0,212413908.0
3,Russia,362342,3807,131129.0,227406.0,2300.0,2483.0,26.0,9160590.0,62774.0,145928655.0
4,Spain,283339,27117,196958.0,59264.0,854.0,6060.0,580.0,3556567.0,76071.0,46753098.0
5,UK,265227,37048,,,1559.0,3909.0,546.0,3681295.0,54255.0,67852019.0
6,Italy,230555,32955,144658.0,52942.0,521.0,3813.0,545.0,3539927.0,58540.0,60469988.0
7,France,182722,28530,65879.0,88313.0,1555.0,2800.0,437.0,1384633.0,21217.0,65259974.0
8,Germany,181288,8498,162000.0,10790.0,821.0,2164.0,101.0,3595059.0,42922.0,83758696.0
9,Turkey,158762,4397,121507.0,32858.0,739.0,1884.0,52.0,1873607.0,22239.0,84249900.0
10,India,151876,4346,64426.0,83104.0,8944.0,110.0,3.0,3242160.0,2352.0,1378678095.0
11,Iran,139511,7508,109437.0,22566.0,2567.0,1663.0,90.0,837090.0,9979.0,83886140.0
12,Peru,129751,3788,52906.0,73057.0,923.0,3941.0,115.0,875721.0,26597.0,32925941.0
13,Canada,86647,6639,45339.0,34669.0,502.0,2298.0,176.0,1502990.0,39857.0,37709994.0
14,Chile,77961,806,30915.0,46240.0,1202.0,4082.0,42.0,501125.0,26237.0,19100270.0
15,Saudi Arabia,76726,411,48450.0,27865.0,384.0,2207.0,12.0,738743.0,21253.0,34759189.0
16,Mexico,74560,8134,52219.0,14207.0,378.0,579.0,63.0,235129.0,1826.0,128799843.0
17,Pakistan,59151,1225,19142.0,38784.0,111.0,268.0,6.0,499399.0,2265.0,220450694.0
18,Belgium,57455,9334,15320.0,32801.0,249.0,4959.0,806.0,795447.0,68663.0,11584839.0
19,Qatar,47207,28,11844.0,35335.0,205.0,16413.0,10.0,196411.0,68290.0,2876111.0
20,Netherlands,45578,5856,,,188.0,2661.0,342.0,324918.0,18966.0,17131319.0
21,Belarus,38059,208,15086.0,22765.0,92.0,4028.0,22.0,472906.0,50045.0,9449610.0
22,Ecuador,37355,3203,18003.0,16149.0,211.0,2121.0,182.0,106554.0,6049.0,17616090.0
23,Bangladesh,36751,522,7579.0,28650.0,1.0,223.0,3.0,258550.0,1571.0,164528877.0
24,Sweden,34440,4125,4971.0,25344.0,304.0,3412.0,409.0,238800.0,23659.0,10093230.0
25,Singapore,32343,23,16444.0,15876.0,8.0,5533.0,4.0,334691.0,57252.0,5845893.0
26,UAE,31086,253,15982.0,14851.0,1.0,3147.0,26.0,2072493.0,209797.0,9878576.0
27,Portugal,31007,1342,18096.0,11569.0,71.0,3040.0,132.0,689705.0,67622.0,10199416.0
28,Switzerland,30761,1915,28200.0,646.0,41.0,3557.0,221.0,375115.0,43373.0,8648520.0
29,Ireland,24735,1615,21060.0,2060.0,54.0,5015.0,327.0,325795.0,66053.0,4932355.0
30,South Africa,24264,524,12741.0,10999.0,128.0,410.0,9.0,605991.0,10230.0,59234476.0
31,Indonesia,23165,1418,5877.0,15870.0,85.0,5.0,264098.0,967.0,273239726.0,
32,Colombia,23003,776,5511.0,16716.0,136.0,453.0,15.0,271118.0,5334.0,50829634.0
33,Kuwait,22575,172,7306.0,15097.0,196.0,5294.0,40.0,276207.0,64773.0,4264228.0
34,Poland,22074,1024,10020.0,11030.0,160.0,583.0,27.0,801753.0,21182.0,37850425.0
35,Ukraine,21905,658,7995.0,13252.0,259.0,501.0,15.0,312532.0,7142.0,43757273.0
36,Egypt,18756,797,5027.0,12932.0,41.0,184.0,8.0,135000.0,1322.0,102136256.0
37,Romania,18429,1216,11874.0,5339.0,181.0,957.0,63.0,385728.0,20039.0,19249131.0
38,Israel,16771,281,14486.0,2004.0,43.0,1823.0,31.0,552471.0,60067.0,9197590.0
39,Japan,16623,846,13810.0,1967.0,155.0,131.0,7.0,276170.0,2183.0,126511690.0
40,Austria,16557,643,15182.0,732.0,32.0,1839.0,71.0,411185.0,45680.0,9001487.0
41,Dominican Republic,15264,468,8534.0,6262.0,123.0,1408.0,43.0,70972.0,6549.0,10837265.0
42,Philippines,14669,886,3412.0,10371.0,81.0,134.0,8.0,307434.0,2809.0,109435773.0
43,Argentina,13228,484,4167.0,8577.0,171.0,293.0,11.0,136662.0,3026.0,45155378.0
44,Afghanistan,12456,227,1138.0,11091.0,19.0,321.0,6.0,33864.0,872.0,38836559.0
45,Panama,11447,313,6379.0,4755.0,72.0,2657.0,73.0,60598.0,14067.0,4307910.0
46,Denmark,11428,563,10044.0,821.0,23.0,1974.0,97.0,559454.0,96620.0,5790276.0
47,S. Korea,11265,269,10295.0,701.0,15.0,220.0,5.0,852876.0,16637.0,51265081.0
48,Serbia,11227,239,6067.0,4921.0,11.0,1284.0,27.0,223771.0,25601.0,8740556.0
49,Bahrain,9366,14,4938.0,4414.0,9.0,5526.0,8.0,286223.0,168866.0,1694967.0
50,Kazakhstan,9304,37,4613.0,4654.0,31.0,496.0,2.0,710352.0,37876.0,18754495.0
51,Czechia,9050,317,6270.0,2463.0,24.0,845.0,30.0,410777.0,38365.0,10707123.0
52,Algeria,8697,617,4918.0,3162.0,27.0,199.0,14.0,43770104.0,,
53,Norway,8383,235,7727.0,421.0,11.0,1547.0,43.0,236666.0,43688.0,5417143.0
54,Nigeria,8344,249,2385.0,5710.0,7.0,41.0,1.0,44458.0,216.0,205598175.0
55,Oman,8118,38,2067.0,6013.0,31.0,1594.0,7.0,72000.0,14138.0,5092816.0
56,Malaysia,7604,115,6041.0,1448.0,8.0,235.0,4.0,519944.0,16085.0,32324797.0
57,Morocco,7577,202,4881.0,2494.0,1.0,206.0,5.0,161365.0,4377.0,36867318.0
58,Armenia,7402,91,3220.0,4091.0,10.0,2498.0,31.0,52554.0,17738.0,2962725.0
59,Moldova,7305,267,3884.0,3154.0,256.0,1810.0,66.0,40565.0,10054.0,4034820.0
60,Australia,7139,103,6560.0,476.0,5.0,280.0,4.0,1301269.0,51089.0,25470681.0
61,Bolivia,7136,274,677.0,6185.0,3.0,612.0,24.0,22294.0,1912.0,11657129.0
62,Ghana,7117,34,2317.0,4766.0,16.0,230.0,1.0,203383.0,6560.0,31005629.0
63,Finland,6628,312,5100.0,1216.0,11.0,1196.0,56.0,171575.0,30971.0,5539916.0
64,Cameroon,5436,175,1996.0,3265.0,28.0,205.0,7.0,26475800.0,,
65,Iraq,4848,169,2852.0,1827.0,34.0,121.0,4.0,199367.0,4968.0,40128037.0
66,Azerbaijan,4403,52,2819.0,1532.0,42.0,435.0,5.0,273411.0,26989.0,10130283.0
67,Honduras,4401,188,493.0,3720.0,13.0,445.0,19.0,14790.0,1496.0,9888691.0
68,Luxembourg,3995,110,3783.0,102.0,5.0,6393.0,176.0,68829.0,110136.0,624947.0
69,Sudan,3976,170,503.0,3303.0,91.0,4.0,401.0,9.0,43741597.0,
70,Guatemala,3954,63,289.0,3602.0,5.0,221.0,4.0,31427.0,1758.0,17881612.0
71,Hungary,3793,505,1856.0,1432.0,25.0,393.0,52.0,169960.0,17589.0,9662589.0
72,Uzbekistan,3333,14,2636.0,683.0,4.0,100.0,0.4,460000.0,13764.0,33420567.0
73,Guinea,3275,20,1673.0,1582.0,24.0,250.0,2.0,14407.0,1100.0,13094574.0
74,Tajikistan,3266,47,1417.0,1802.0,343.0,5.0,9515224.0,,,
75,Senegal,3161,36,1565.0,1560.0,18.0,189.0,2.0,35016.0,2097.0,16696778.0
76,Thailand,3054,57,2931.0,66.0,59.0,44.0,0.8,375453.0,5380.0,69783536.0
77,Greece,2892,173,1374.0,1345.0,18.0,277.0,17.0,160991.0,15439.0,10427639.0
78,Ivory Coast,2477,30,1286.0,1161.0,94.0,1.0,25099.0,954.0,26309063.0,
79,Djibouti,2468,14,1079.0,1375.0,2502.0,14.0,23140.0,23455.0,986559.0,
80,Bulgaria,2460,133,912.0,1415.0,22.0,354.0,19.0,76391.0,10987.0,6953085.0
81,Bosnia and Herzegovina,2416,149,1721.0,546.0,4.0,736.0,45.0,60528.0,18439.0,3282643.0
82,DRC,2403,68,340.0,1995.0,27.0,0.8,89264128.0,,,
83,Croatia,2244,101,2046.0,97.0,5.0,546.0,25.0,63682.0,15504.0,4107530.0
84,Gabon,2238,14,593.0,1631.0,11.0,1008.0,6.0,11340.0,5108.0,2220204.0
85,El Salvador,2109,37,873.0,1199.0,29.0,325.0,6.0,79711.0,12295.0,6483089.0
86,North Macedonia,2014,116,1453.0,445.0,21.0,967.0,56.0,25841.0,12403.0,2083382.0
87,Cuba,1963,82,1709.0,172.0,4.0,173.0,7.0,97003.0,8564.0,11327254.0
88,Estonia,1834,65,1552.0,217.0,1.0,1383.0,49.0,78085.0,58868.0,1326452.0
89,Iceland,1804,10,1792.0,2.0,5290.0,29.0,59087.0,173260.0,341030.0,
90,Somalia,1711,67,253.0,1391.0,2.0,108.0,4.0,15845450.0,,
91,Lithuania,1639,65,1165.0,409.0,17.0,601.0,24.0,275058.0,100919.0,2725537.0
92,Mayotte,1634,20,894.0,720.0,11.0,6005.0,73.0,5200.0,19109.0,272120.0
93,Kyrgyzstan,1520,16,1043.0,461.0,4.0,233.0,2.0,105815.0,16246.0,6513284.0
94,Slovakia,1513,28,1322.0,163.0,1.0,277.0,5.0,160523.0,29403.0,5459397.0
95,New Zealand,1504,21,1462.0,21.0,312.0,4.0,267435.0,55502.0,4818440.0,
96,Slovenia,1469,108,1346.0,15.0,2.0,707.0,52.0,77138.0,37105.0,2078912.0
97,Maldives,1438,5,197.0,1236.0,9.0,2665.0,9.0,11775.0,21823.0,539573.0
98,Kenya,1348,52,405.0,891.0,1.0,25.0,1.0,64264.0,1198.0,53647618.0
99,Sri Lanka,1319,10,712.0,597.0,1.0,62.0,0.5,57327.0,2678.0,21404741.0
100,Venezuela,1211,11,302.0,898.0,2.0,43.0,0.4,865367.0,30424.0,28443280.0
101,Guinea-Bissau,1178,7,42.0,1129.0,600.0,4.0,1500.0,764.0,1963102.0,
102,Haiti,1174,33,22.0,1119.0,103.0,3.0,3475.0,305.0,11388764.0,
103,Lebanon,1140,26,689.0,425.0,3.0,167.0,4.0,75813.0,11103.0,6828204.0
104,Mali,1077,70,617.0,390.0,53.0,3.0,3483.0,173.0,20187688.0,
105,Hong Kong,1066,4,1033.0,29.0,1.0,142.0,0.5,202930.0,27090.0,7491091.0
106,Latvia,1053,22,741.0,290.0,2.0,558.0,12.0,101598.0,53812.0,1888011.0
107,Tunisia,1051,48,929.0,74.0,2.0,89.0,4.0,49113.0,4160.0,11806488.0
108,Equatorial Guinea,1043,12,165.0,866.0,746.0,9.0,854.0,611.0,1397887.0,
109,Albania,1029,33,803.0,193.0,3.0,358.0,11.0,13506.0,4693.0,2878086.0
110,Costa Rica,956,10,634.0,312.0,2.0,188.0,2.0,23703.0,4657.0,5089588.0
111,Niger,952,63,796.0,93.0,39.0,3.0,5989.0,248.0,24108004.0,
112,Cyprus,939,17,594.0,328.0,10.0,778.0,14.0,103814.0,86045.0,1206512.0
113,Zambia,920,7,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,18328453.0
114,Paraguay,877,11,382.0,484.0,123.0,2.0,26169.0,3673.0,7123858.0,
115,Burkina Faso,832,52,672.0,108.0,40.0,2.0,20841675.0,,,
116,South Sudan,806,8,6.0,792.0,72.0,0.7,3356.0,300.0,11180763.0,
117,Uruguay,789,22,638.0,129.0,5.0,227.0,6.0,39469.0,11366.0,3472594.0
118,Nepal,772,4,155.0,613.0,27.0,0.1,152391.0,5240.0,29083261.0,
119,Andorra,763,51,676.0,36.0,3.0,9877.0,660.0,3750.0,48542.0,77253.0
120,Nicaragua,759,35,370.0,354.0,115.0,5.0,6616762.0,,,
121,Sierra Leone,754,44,297.0,413.0,95.0,6.0,7960197.0,,,
122,Georgia,735,12,557.0,166.0,6.0,184.0,3.0,50208.0,12584.0,3989868.0
123,Jordan,718,9,586.0,123.0,5.0,70.0,0.9,167892.0,16471.0,10193227.0
124,Diamond Princess,712,13,651.0,48.0,4.0,0.0,,,,
125,Ethiopia,701,6,167.0,528.0,6.0,0.05,87264.0,761.0,114661849.0,
126,Chad,700,62,303.0,335.0,43.0,4.0,16374868.0,,,
127,CAR,671,1,22.0,648.0,139.0,0.2,11570.0,2400.0,4821214.0,
128,San Marino,666,42,275.0,349.0,19632.0,1238.0,4079.0,120239.0,33924.0,
129,Malta,611,6,485.0,120.0,1.0,1384.0,14.0,63087.0,142914.0,441433.0
130,Madagascar,586,2,147.0,437.0,6.0,21.0,0.07,9340.0,338.0,27615210.0
131,Jamaica,564,9,267.0,288.0,1.0,191.0,3.0,10570.0,3571.0,2959941.0
132,Channel Islands,559,45,512.0,2.0,3218.0,259.0,10255.0,59036.0,173707.0,
133,Tanzania,509,21,183.0,305.0,7.0,9.0,0.4,59550338.0,,
134,Congo,487,16,147.0,324.0,88.0,3.0,5503707.0,,,
135,Réunion,459,1,411.0,47.0,1.0,513.0,1.0,17200.0,19224.0,894697.0
136,Sao Tome and Principe,441,12,68.0,361.0,2016.0,55.0,175.0,800.0,218742.0,
137,Taiwan,441,7,419.0,15.0,19.0,0.3,71405.0,2999.0,23812744.0,
138,Palestine,429,3,365.0,61.0,84.0,0.6,44876.0,8818.0,5088950.0,
139,Togo,391,13,177.0,201.0,47.0,2.0,17501.0,2119.0,8258310.0,
140,Cabo Verde,390,4,155.0,231.0,702.0,7.0,1307.0,2353.0,555393.0,
141,French Guiana,384,1,146.0,237.0,2.0,1289.0,3.0,297857.0,,
142,Rwanda,339,244,95.0,26.0,60443.0,4679.0,12918194.0,,,
143,Isle of Man,336,24,306.0,6.0,2.0,3953.0,282.0,4624.0,54406.0,84990.0
144,Mauritius,334,10,322.0,2.0,263.0,8.0,104639.0,82291.0,1271571.0,
145,Vietnam,327,278,49.0,2.0,3.0,275000.0,2828.0,97253355.0,,
146,Montenegro,324,9,315.0,0.0,516.0,14.0,10167.0,16188.0,628059.0,
147,Mauritania,268,13,15.0,240.0,58.0,3.0,2583.0,557.0,4636603.0,
148,Liberia,266,26,144.0,96.0,53.0,5.0,5045170.0,,,
149,Eswatini,261,2,164.0,95.0,225.0,2.0,4994.0,4309.0,1158986.0,
150,Uganda,253,69,184.0,6.0,87903.0,1928.0,45582307.0,,,
151,Yemen,249,49,10.0,190.0,8.0,2.0,120.0,4.0,29757373.0,
152,Mozambique,213,1,71.0,141.0,7.0,0.03,9036.0,290.0,31161032.0,
153,Benin,208,3,118.0,87.0,17.0,0.2,28179.0,2331.0,12089298.0,
154,Myanmar,206,6,124.0,76.0,4.0,0.1,20322.0,374.0,54374752.0,
155,Martinique,197,14,91.0,92.0,525.0,37.0,375292.0,,,
156,Faeroe Islands,187,187,0.0,3828.0,9288.0,190153.0,48845.0,,,
157,Guadeloupe,161,14,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,400118.0
158,Gibraltar,154,147,7.0,4571.0,6621.0,196515.0,33692.0,,,
159,Mongolia,148,43,105.0,25.0,45.0,12708.0,3883.0,3272950.0,,
160,Brunei,141,1,137.0,3.0,2.0,323.0,2.0,18589.0,42531.0,437070.0
161,Guyana,139,11,62.0,66.0,2.0,177.0,14.0,1499.0,1907.0,786191.0
162,Bermuda,139,9,91.0,39.0,2.0,2231.0,144.0,6773.0,108718.0,62299.0
163,Cayman Islands,137,1,63.0,73.0,2087.0,15.0,9815.0,149514.0,65646.0,
164,Cambodia,124,122,2.0,1.0,7.0,18392.0,1102.0,16695847.0,,
165,Syria,121,4,41.0,76.0,7.0,0.2,17455726.0,,,
166,Trinidad and Tobago,116,8,108.0,0.0,83.0,6.0,3012.0,2153.0,1399061.0,
167,Malawi,101,4,37.0,60.0,1.0,5.0,0.2,3372.0,177.0,19077274.0
168,Aruba,101,3,95.0,3.0,3.0,946.0,28.0,2073.0,19424.0,106723.0
169,Bahamas,100,11,46.0,43.0,1.0,255.0,28.0,2026.0,5157.0,392877.0
170,Monaco,98,4,90.0,4.0,2.0,2499.0,102.0,39215.0,,
171,Barbados,92,7,71.0,14.0,1.0,320.0,24.0,4888.0,17011.0,287342.0
172,Comoros,87,1,21.0,65.0,100.0,1.0,867674.0,,,
173,Liechtenstein,82,1,55.0,26.0,2151.0,26.0,900.0,23611.0,38118.0,
174,Sint Maarten,77,15,59.0,3.0,1.0,1798.0,350.0,438.0,10227.0,42828.0
175,Libya,77,3,40.0,34.0,11.0,0.4,5154.0,751.0,6861969.0,
176,Angola,70,4,18.0,48.0,2.0,0.1,10000.0,305.0,32754235.0,
177,French Polynesia,60,60,0.0,214.0,3964.0,14119.0,280753.0,,,
178,Zimbabwe,56,4,25.0,27.0,4.0,0.3,37039.0,2496.0,14841222.0,
179,Macao,45,45,0.0,69.0,648452.0,,,,,
180,Burundi,42,1,20.0,21.0,4.0,0.08,284.0,24.0,11852246.0,
181,Saint Martin,40,3,33.0,4.0,1.0,1036.0,78.0,553.0,14327.0,38599.0
182,Eritrea,39,39,0.0,11.0,3541517.0,,,,,
183,Botswana,35,1,20.0,14.0,15.0,0.4,17631.0,7513.0,2346718.0,
184,Bhutan,27,6,21.0,35.0,15862.0,20579.0,770772.0,,,
185,Antigua and Barbuda,25,3,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,97850.0
186,Gambia,25,1,18.0,6.0,10.0,0.4,1657.0,688.0,2409346.0,
187,Timor-Leste,24,24,0.0,18.0,1290.0,980.0,1315864.0,,,
188,Grenada,23,18,5.0,4.0,204.0,3007.0,26735.0,112473.0,,
189,Namibia,21,14,7.0,8.0,3186.0,1256.0,2536200.0,,,
190,Laos,19,14,5.0,3.0,5855.0,806.0,7264973.0,,,
191,Belize,18,2,16.0,0.0,45.0,5.0,1485.0,3742.0,396890.0,
192,Curaçao,18,1,14.0,3.0,110.0,6.0,572.0,3487.0,164029.0,
193,Fiji,18,15,3.0,20.0,1300.0,1451.0,895819.0,,,
194,New Caledonia,18,18,0.0,63.0,5454.0,19121.0,285230.0,,,
195,Saint Lucia,18,18,0.0,98.0,924.0,5034.0,183547.0,,,
196,St. Vincent Grenadines,18,14,4.0,162.0,216.0,1948.0,110907.0,,,
197,Dominica,16,16,0.0,222.0,433.0,6016.0,71969.0,,,
198,Saint Kitts and Nevis,15,15,0.0,282.0,394.0,7411.0,53163.0,,,
199,Falkland Islands,13,13,0.0,3747.0,466.0,134333.0,3469.0,,,
200,Turks and Caicos,12,1,10.0,1.0,310.0,26.0,126.0,3259.0,38665.0,
201,Greenland,12,11,1.0,211.0,1938.0,34143.0,56761.0,,,
202,Vatican City,12,2,10.0,14981.0,801.0,,,,,
203,Montserrat,11,1,10.0,0.0,2204.0,200.0,36.0,7212.0,4992.0,
204,Suriname,11,1,9.0,1.0,19.0,2.0,488.0,833.0,586121.0,
205,Seychelles,11,11,0.0,112.0,98289.0,,,,,
206,MS Zaandam,9,2,7.0,0.0,,,,,,
207,Western Sahara,9,1,6.0,2.0,15.0,2.0,595784.0,,,
208,British Virgin Islands,8,1,7.0,0.0,265.0,33.0,167.0,5528.0,30212.0,
209,Papua New Guinea,8,8,0.0,0.9,2402.0,269.0,8929617.0,,,
210,Caribbean Netherlands,6,6,0.0,229.0,424.0,16184.0,26199.0,,,
211,St. Barth,6,6,0.0,608.0,137.0,13875.0,9874.0,,,
212,Anguilla,3,3,0.0,200.0,30.0,2001.0,14990.0,,,
213,Lesotho,2,2,0.9,283.0,132.0,2140606.0,,,,
214,Saint Pierre Miquelon,1,1,0.0,173.0,5797.0,,,,,
215,China,82993,4634,78280.0,79.0,5.0,58.0,3.0,1439323776.0,,
